question	answer
用配合饲料饲喂家禽有什么好处?配合日粮时应遵循哪些原则？	配合饲料是根据饲养标准,将各类饲料按比例配合在一起,以满足不同年龄或不同生产性能的营养需要,用配合饲料饲喂家 禽,既可保证家禽能吃到营养完善的日粮,维持家禽健康和高产,又可节省劳力、便于机械送料。在配合日粮时应遵循以下原则: (1) 营养原则 ①配合日粮时,必须以家禽的饲养标准为依据,并结合饲养实践中家禽的生长与生产性能状况予以灵活应用。发现日粮中的营养水平偏低或偏高,应进行适当地调整。②配合日粮时,应注意饲料的多样化,尽量多用几种饲料进行配合,这样有利于配制成营养完整的日粮,充分发挥各种饲料中蛋白质的互补作用,有利于提高日粮的消化率和营养物质的利用率。③配合日粮时,涉及的营养项目很多,如能量、蛋白质、各种氨基酸、各种矿物质等,首先要满足家禽的能量需要,然后再考虑蛋白质,最后调整矿物质和维生素营养。 (2) 生理原则 ①配合日粮时,必须根据各类家禽的不同生理特点,选择适宜的饲料进行搭配,尤其要注意控制日粮中粗纤维的含量。②配制的日粮应有良好的适口性。所用的饲料应质地良好,保证日粮无毒、无害、不苦、不涩、不霉、不污染。③配合日粮所用的饲料种类力求保持相对稳定,如需改变饲料种类和配合比例,应逐渐变化,给家禽一个适应过程。 (3) 经济原则 在养禽生产中,饲料费用占很大比例,一般要占养禽成本的 $60\% \sim 70\%$ 。因此,配合日粮时,应尽量做到就地取材,充分利用营养丰富、价格低廉的饲料来配合日粮,以降低生产成本,提高经济效益。
各种饲料在家禽日粮中应占多大比例？	(1) 谷实类饲料 谷实类饲料至少应选 $2 \sim 3$ 种,占日粮比例:雏禽为 $40\% \sim 60\%$ ;成禽为 $50\% \sim 60\%$ (2) 糠麸类饲料 糠麸类饲料应选 $1 \sim 2$ 种以上,占日粮比例:雏禽为 $15\% \sim 25\%$ ;成禽为 $10\% \sim 30\%$ (3) 饼粕类饲料 饼粕类饲料应选 $1 \sim 2$ 种以上,占日粮比 例:雏禽为 $15\% \sim 25\%$ ; 成禽为 $10\% \sim 20\%$ . (4)动物性蛋白质饲料 动物性蛋白质饲料应选 $1 \sim 2$ 种, 占日粮比例: 雏禽为 $8\% \sim 15\%$ ; 成禽为 $5\% \sim 8\%$ . (5)叶粉、干草粉 占日粮比例 $2\% \sim 5\%$ . (6)矿物质饲料 矿物质饲料应选 $2 \sim 4$ 种, 占日粮比例: 雏禽为 $2\% \sim 3\%$ ; 成禽为 $3\% \sim 10\%$ . 如骨粉占日粮的 $1\% \sim 2\%$ , 食盐占日粮的 $0.3\% \sim 0.5\%$ . 贝壳粉、石粉占日粮比例: 雏禽 $1\% \sim 2\%$ , 产蛋禽为 $3\% \sim 8\%$ . (7)维生素、微量元素等添加剂 按药品说明添加, 一般占日粮的 $1\% \sim 2\%$ . (8)青饲料 一般占精饲料的 $25\% \sim 30\%$ , 如用维生素添加剂可不喂.
怎样利用"试差法"设计家禽的日粮配方？	配合日粮首先要设计日粮配方, 有了配方, 然后"照方抓药"。设计日粮配方的方法很多, 如四方形法、试差法、线性规划法、计算机法等。目前一些小型养禽场多采用试差法, 而大型养禽场多采用计算机法. 所谓试差法是根据经验和饲料营养含量, 先大致确定一下各类饲料在饲粮中所占的比例, 然后通过计算看看与饲养标准还差多少再进行调整。下面以产蛋高峰期的蛋鸡设计饲粮配方为例, 说明试差法的计算过程. 第一步: 根据配料对象及现有的饲料种类列出饲养标准及饲料成分表 (表1- 1). 表1-1产蛋鸡饲养标准及饲料成分表（兆焦/千克、 $\%$ <table><tr><td>项目</td><td>代谢能</td><td>粗蛋白</td><td>钙</td><td>总磷</td><td>蛋十胱氨酸</td><td>赖氨酸</td><td>食盐</td></tr></table> 饲养标准 <table><tr><td>产蛋率&amp;gt;85%</td><td>11.29</td><td>16.5</td><td>3.5</td><td>0.6</td><td>0.65</td><td>0.75</td><td>0.37</td></tr></table> 饲料成分 <table><tr><td>项目</td><td>代谢能</td><td>粗蛋白</td><td>钙</td><td>总磷</td><td>蛋+胱氨酸</td><td>赖氨酸</td><td>食盐</td></tr></table> <table><tr><td>鱼粉</td><td>11.8</td><td>60.2</td><td>4.04</td><td>2.9</td><td>2.16</td><td>4.72</td><td></td></tr><tr><td>豆饼</td><td>10.54</td><td>41.8</td><td>0.31</td><td>0.5</td><td>1.22</td><td>2.43</td><td></td></tr><tr><td>花生饼</td><td>11.63</td><td>44.7</td><td>0.25</td><td>0.53</td><td>0.77</td><td>1.32</td><td></td></tr><tr><td>玉米</td><td>13.56</td><td>8.7</td><td>0.02</td><td>0.27</td><td>0.38</td><td>0.24</td><td></td></tr><tr><td>碎米</td><td>14.23</td><td>10.4</td><td>0.06</td><td>0.35</td><td>0.39</td><td>0.42</td><td></td></tr><tr><td>麦麸</td><td>6.82</td><td>15.7</td><td>0.11</td><td>0.92</td><td>0.39</td><td>0.58</td><td></td></tr><tr><td>骨粉</td><td></td><td></td><td>29.8</td><td>12.5</td><td></td><td></td><td></td></tr><tr><td>石粉</td><td></td><td></td><td>35.84</td><td>0.01</td><td></td><td></td><td></td></tr></table> 注：矿物质钠、氯主要以食盐的形式补充，食盐按占饲粮的 $0.37\%$ 计算。 第二步：试制饲粮配方，算出其营养成分。如初步确定各种饲料的比例为鱼粉 $3\%$ 、花生饼 $5\%$ 、豆饼 $13\%$ 、碎米 $10\%$ 、麦麸 $6\%$ 、食盐 $0.37\%$ 、骨粉 $1\%$ 、石粉 $7\%$ 、添加剂 $0.5\%$ 、玉米 $54.13\%$ 。饲料比例初步确定后列出试制的饲粮配方及其营养成分表（表1- 2）。 表1-2 初步确定的饲粮配方及其营养成分 <table><tr><td>饲料种类</td><td>饲料比例</td><td>代谢能(兆焦/千克)</td><td>粗蛋白(%)</td><td>钙(%)</td><td>总磷(%)</td><td>蛋+胱氨酸(%)</td><td>赖氨酸(%)</td></tr><tr><td>鱼粉</td><td>3</td><td>0.03×11.80=0.354</td><td>0.03×60.2=1.806</td><td>0.03×4.04=0.121</td><td>0.03×2.90=0.087</td><td>0.03×2.16=0.065</td><td>0.03×4.72=0.142</td></tr><tr><td>豆饼</td><td>13</td><td>0.13×10.54=1.370</td><td>0.13×41.8=5.434</td><td>0.13×0.31=0.040</td><td>0.13×0.50=0.065</td><td>0.13×1.22=0.159</td><td>0.13×2.43=0.316</td></tr><tr><td>花生饼</td><td>5</td><td>0.05×11.63=0.582</td><td>0.05×44.7=2.235</td><td>0.05×0.25=0.013</td><td>0.05×0.53=0.027</td><td>0.05×0.77=0.039</td><td>0.05×1.32=0.066</td></tr></table> <table><tr><td>饲料种类</td><td>饲料比例</td><td>代谢能(兆焦/千克)</td><td>粗蛋白(%)</td><td>钙(%)</td><td>总磷(%)</td><td>蛋+胱氨酸(%)</td><td>赖氨酸(%)</td></tr><tr><td>玉米</td><td>54.13</td><td>0.541×13.56=7.336</td><td>0.541×8.7=4.707</td><td>0.541×0.02=0.011</td><td>0.541×0.27=0.146</td><td>0.541×0.38=0.206</td><td>0.541×0.24=0.130</td></tr><tr><td>碎米</td><td>10</td><td>0.1×14.23=1.423</td><td>0.1×10.4=1.040</td><td>0.1×0.06=0.006</td><td>0.1×0.35=0.035</td><td>0.1×0.39=0.039</td><td>0.1×0.42=0.042</td></tr><tr><td>麦麸</td><td>6</td><td>0.06×6.82=0.409</td><td>0.06×15.7=0.942</td><td>0.06×0.11=0.007</td><td>0.06×0.92=0.055</td><td>0.06×0.39=0.023</td><td>0.06×0.58=0.035</td></tr><tr><td>骨粉</td><td>1</td><td></td><td></td><td>0.01×29.80=0.298</td><td>0.01×12.50=0.125</td><td></td><td></td></tr><tr><td>石粉</td><td>7</td><td></td><td></td><td>0.07×35.84=2.509</td><td>0.07×0.01=0.001</td><td></td><td></td></tr><tr><td>食盐添加剂</td><td>0.37</td><td></td><td></td><td></td><td></td><td></td><td></td></tr><tr><td>合计</td><td>0.5</td><td></td><td></td><td></td><td></td><td></td><td></td></tr><tr><td></td><td>100</td><td>11.474</td><td>16.164</td><td>3.005</td><td>0.541</td><td>0.531</td><td>0.731</td></tr></table> 第三步：补足配方中粗蛋白质和代谢能含量。从以上试制的饲粮配方来看，代谢能比饲养标准多0.184兆焦/千克（11.474一11.29），而粗蛋白质比饲养标准少 $0.336\%$ (16.5%—16.164%)，这样可利用豆饼代替部分玉米进行调整。若粗蛋白质高于饲养标准，同样也可用玉米代替部分豆饼含量进行调整。从饲料营养成分表中可查出豆饼的粗蛋白质含量为 $41.8\%$ ，而玉米的粗蛋白质含量为 $8.7\%$ ，豆饼中的粗蛋白质含量比玉米高 $33.1\%$ (41.8%—8.7%)。在这里，每用 $1\%$ 豆饼代替玉米，则可提高粗蛋白质 $0.331\%$ 。这样，我们增加 $1.02\%$ (0.336/0.331) 豆饼来代替玉米就能满足蛋白质的饲养标准。 第一次调整后的饲粮配方及其营养成分见表1- 3。 表1-3第一次调整后的饲粮配方及其营养成分 <table><tr><td>饲料种类</td><td>饲料比例</td><td>代谢能(兆焦/千克)</td><td>粗蛋白(%)</td><td>钙(%)</td><td>总磷(%)</td><td>蛋+胱氨酸(%)</td><td>赖氨酸(%)</td></tr><tr><td>鱼粉</td><td>3</td><td>0.03×11.80=0.354</td><td>0.03×60.2=1.806</td><td>0.03×4.04=0.121</td><td>0.03×2.90=0.087</td><td>0.03×2.16=0.065</td><td>0.03×4.72=0.142</td></tr><tr><td>豆饼</td><td>14.02</td><td>0.14×10.54=1.476</td><td>0.14×41.8=5.852</td><td>0.14×0.31=0.043</td><td>0.14×0.50=0.070</td><td>0.14×1.22=0.171</td><td>0.14×2.43=0.340</td></tr><tr><td>花生饼</td><td>5</td><td>0.05×11.63=0.582</td><td>0.05×44.7=2.235</td><td>0.05×0.25=0.013</td><td>0.05×0.53=0.027</td><td>0.05×0.77=0.039</td><td>0.05×1.32=0.066</td></tr><tr><td>玉米</td><td>53.11</td><td>0.531×13.56=7.200</td><td>0.531×8.7=4.620</td><td>0.531×0.020=0.011</td><td>0.531×0.27=0.143</td><td>0.531×0.38=0.202</td><td>0.531×0.24=0.127</td></tr><tr><td>碎米</td><td>10</td><td>0.1×14.23=1.423</td><td>0.1×10.4=1.040</td><td>0.1×0.06=0.006</td><td>0.1×0.35=0.035</td><td>0.1×0.39=0.039</td><td>0.1×0.42=0.042</td></tr><tr><td>麦麸</td><td>6</td><td>0.06×6.82=0.409</td><td>0.06×15.7=0.942</td><td>0.06×0.11=0.007</td><td>0.06×0.92=0.055</td><td>0.06×0.39=0.023</td><td>0.06×0.58=0.035</td></tr><tr><td>骨粉</td><td>1</td><td></td><td></td><td>0.01×29.80=0.298</td><td>0.01×12.50=0.125</td><td></td><td></td></tr><tr><td>石粉</td><td>7</td><td></td><td></td><td>0.07×35.84=2.509</td><td>0.07×0.01=0.001</td><td></td><td></td></tr><tr><td>食盐</td><td>0.37</td><td></td><td></td><td></td><td></td><td></td><td></td></tr><tr><td>添加剂</td><td>0.5</td><td></td><td></td><td></td><td></td><td></td><td></td></tr><tr><td>合计</td><td>100</td><td>11.444</td><td>16.495</td><td>3.008</td><td>0.543</td><td>0.539</td><td>0.752</td></tr></table> 第四步:平衡钙磷,补充添加剂。从表1- 3可以看出,饲粮配方中的钙尚缺 $0.492\%$ (3.5% - 3.008%)、磷缺 $0.057\%$ (0.6% - 0.543%)、蛋氨酸缺 $0.111$ (0.65% - 0.539%),这样可用 $0.46\%$ (0.057/0.125) 骨粉和 $0.99\%$ [(0.492 - 0.46% × 29.8) / 0.358] 石粉代替玉米,另外添加 $0.11\%$ 的蛋氨酸添加剂,维生素、微量元素添加剂按药品说明添加。 这样经过调整的饲粮配方中的所有营养已基本满足要求，调整后确定使用的饲粮配方见表1- 4。 表1-4最后确定使用的饲粮配方及其营养成分 <table><tr><td>饲料种类</td><td>饲料比例</td><td>代谢能(兆焦/千克)</td><td>粗蛋白(%)</td><td>钙(%)</td><td>总磷(%)</td><td>蛋+胱氨酸(%)</td><td>赖氨酸(%)</td></tr><tr><td>鱼粉</td><td>3</td><td>0.03×11.80=0.354</td><td>0.03×60.2=1.806</td><td>0.03×4.04=0.121</td><td>0.03×2.90=0.087</td><td>0.03×2.16=0.065</td><td>0.03×4.72=0.142</td></tr><tr><td>豆饼</td><td>14.02</td><td>0.14×10.54=1.476</td><td>0.14×41.8=5.852</td><td>0.14×0.31=0.043</td><td>0.14×0.50=0.070</td><td>0.14×1.22=0.171</td><td>0.14×2.43=0.340</td></tr><tr><td>花生饼</td><td>5</td><td>0.05×11.63=0.582</td><td>0.05×44.7=2.235</td><td>0.05×0.25=0.013</td><td>0.05×0.53=0.027</td><td>0.05×0.77=0.039</td><td>0.05×1.32=0.066</td></tr><tr><td>玉米</td><td>51.66</td><td>0.517×13.56=7.011</td><td>0.517×8.7=4.498</td><td>0.517×0.020=0.010</td><td>0.517×0.27=0.140</td><td>0.517×0.38=0.197</td><td>0.517×0.24=0.124</td></tr><tr><td>碎米</td><td>10</td><td>0.1×14.23=1.423</td><td>0.1×10.4=1.040</td><td>0.1×0.06=0.006</td><td>0.1×0.35=0.035</td><td>0.1×0.39=0.039</td><td>0.1×0.42=0.042</td></tr><tr><td>麦麸</td><td>6</td><td>0.06×6.82=0.409</td><td>0.06×15.7=0.942</td><td>0.06×0.11=0.007</td><td>0.06×0.92=0.055</td><td>0.06×0.39=0.023</td><td>0.06×0.58=0.035</td></tr><tr><td>骨粉</td><td>1.46</td><td></td><td></td><td>0.015×29.80=0.447</td><td>0.015×12.50=0.188</td><td></td><td></td></tr><tr><td>石粉</td><td>7.98</td><td></td><td></td><td>0.080×35.84=2.867</td><td>0.080×0.01=0.001</td><td></td><td></td></tr><tr><td>食盐</td><td>0.37</td><td></td><td></td><td></td><td></td><td></td><td></td></tr><tr><td>蛋氨酸添加剂</td><td>0.11</td><td></td><td></td><td></td><td></td><td>0.110</td><td></td></tr><tr><td>其他添加剂</td><td>0.39</td><td></td><td></td><td></td><td></td><td></td><td></td></tr><tr><td>合计</td><td>100</td><td>11.255</td><td>16.373</td><td>3.514</td><td>0.603</td><td>0.644</td><td>0.749</td></tr></table>
怎样利用计算机设计家禽的日粮配方？	随着电子工业的发展,电子计算机也被广泛应用于饲粮配方设计之中。利用电子计算机设计饲粮配方,其原理是把饲粮配方设计的计算抽象为简单目标线性规划问题,饲粮配方设计过程,就是求解相应线性规划问题最优解的过程,即利用高级计算机算法语言编出程序,将饲粮配方问题抽象成线性规划模型后,准确适当地列出输入数据,利用相应各种计算机的程序求解。在实际生产中,人们可以利用电脑公司提供的计算机软件设计日粮配方。与一般方法相比,用电子计算机设计饲粮配方有以下优点:①可以满足家禽所有营养物质的需要。利用手工设计,只能确定几种主要技术指标,计算简单的饲粮配方。使用电子计算机后,利用线性规划和计算机语言,可以将家禽饲养标准中规定的所有指标一一满足,使全面考虑营养与成本的愿望变为现实。②操作简单,快速及时。利用计算机设计日粮配方,全部计算工作都由计算机完成,且速度相当快,仅需几分钟。计算内部程序固定化,操作起来极为简单。③可计算出高质量、低成本的日粮配方。利用计算机设计出来的日粮配方都是最优化的,它既保证原料的最佳配比,又追求最低成本,这样可充分利用饲料资源,提高饲料转化率,获取最大的经济效益。④提供更多的参考信息。计算机不仅能设计日粮配方,还有进行经济分析,经营决策,生产管理,市场营销,信息反馈等多种非常重要的作用。
什么是预混料?使用预混料应注意哪些问题？	预混料是采用不同种类的饲料添加剂,按照某种特定配方而制作的匀质混合物。这里所采用的饲料添加剂包括维生素添加剂、微量元素添加剂等。 目前国内养禽生产,尤其是肉鸡生产,绝大多数是一条龙生产,饲料由作为龙头的厂家供给,不需要自己配制。但也有一些 产品直接面向市场上的小型养禽场和个体户,他们在为降低饲养成本而自己配制全价饲料时,乐于使用预混料。因为这样既省去了为满足家禽生理需要而选择购买各种维生素、微量元素添加剂的烦恼,也避免了因这些原料用量过少而导致购买的包装规格较大的原料的积压、浪费,从而可实现配合日粮营养全价、成本低廉的目标。 在使用预混料时,应注意以下几点: $①$ 要选择质量可靠的厂家。 $②$ 要选择适当浓度和对应饲养阶段的预混料。 $③$ 要准确计算用量,妥善保存,避免因长时间积压造成某些成分变化而失去全价性。 $④$ 在配合饲料时,要混拌均匀。
什么是浓缩料?使用浓缩料应注意哪些问题？	浓缩料是由蛋白质饲料、维生素、矿物质及其他营养性添加剂所组成,它不包括占饲料 $60\% \sim 80\%$ 的谷物饲料(能量饲料),特别适合有广泛谷物饲料来源的地区使用,因为这样可减少很大一笔运输费用。降低了生产成本。 在使用浓缩料时,应注意以下几点: $①$ 选好厂家。目前生产浓缩料的厂家很多,假冒伪劣产品时有出现,所以要选择信誉好的厂家,避免上当受骗,要从正规渠道购进。 $②$ 选好规格型号。浓缩料种类很多,不同生产阶段有不同的浓缩料,如 $30\%$ 、 $20\%$ 等,购买时一定要看好说明书,按说明书要求的比例、品种,适量添加,千万不要弄错。 $③$ 适量购买,注意保管。购买时要看好生产批号,注意生产日期和有效期。根据存栏数,计算出需要的购买量。浓缩料中维生素与微量元素是经过特殊处理之后混合在一起的,超过有效期后,维生素会发生严重损失,引起家禽维生素缺乏症,严重时会造成死亡。所以一次购买量不宜过多,要确保在有效期内用完。 $④$ 与填充料混合均匀。这一点非常重要,因为只有充分混匀后,才会使每只家禽采食到等量的营养,满足家禽生长的需要。否则一方面营养浪费,另一方面营养 不足,造成了不应有的损失。
拌料时,怎样把多种饲料混合均匀？	饲料时,怎样把多种饲料混合均匀?饲粮使用时,要求家禽采食的每一部分饲料所含的养分都是均衡的,相同的,否则将使家禽产生营养不良、缺少症或中毒现象,即使你的日粮配方非常科学,饲养条件非常好,仍然不能获得满意的饲养效果。因此必须将饲料搅拌均匀,以满足家禽的营养需要。饲料拌和有机械拌和与手工拌和两种方法,只要使用得当,都能获得满意的效果。 (1)机械拌和采用搅拌机进行。常用的搅拌机有立式和卧式两种。立式搅拌机适用于拌和含水量低于 $14\%$ 的粉状饲料,含水量过多则不易拌和均匀。这种搅拌机所需要的动力小,价格低,维修方便,但搅拌时间较长(一般每批需 $10\sim 20$ 分钟),适于小型养禽场使用。卧式搅拌机在气候比较潮湿的地区或在饲料中添加了粘滞性强的成分(如油脂)的情况下,都能将饲料搅拌均匀。该机搅拌能力强,搅拌时间短,每批 $3\sim 4$ 分钟,主要在一些饲料加工厂使用。 (2)手工拌和这种方法是家庭养禽时饲料拌和的主要手段。拌和时,一定要细心、耐心、防止一些微量成分打堆、结块、拌和不均、影响饲用效果。 手工拌和时特别要注意的是一些在日粮中所占比例小但会严重影响饲养效果的用量较小成分,如食盐和各种添加剂。如果拌和不均,轻则影响饲养效果,严重时会造成家禽生病、中毒,甚至死亡。对这类微量成分,在拌和时首先要充分粉碎,不能有结块现象,块状物不能拌和均匀,被家禽采食后有可能发生中毒。其次,由于这类成分用量少,不能直接加入大宗饲料中进行混合,而应采用预混合的方式。其做法是:取 $10\% \sim 20\%$ 的精料(最好是比例大的能量饲料,如玉米、麦麸等)作为载体,另外堆放,将后一锹饲料压在前一锹放下的饲料上,即一直往饲料顶 上放, 让饲料沿中心点向四周流动成为圆锥形, 这样可以使各种饲料都有混合的机会。如此反复 $3 \sim 4$ 次即可达到拌和均匀的目的, 预混合料即制成。最后再将这种预混合料加入全部饲料中, 用同样方法拌和 $3 \sim 4$ 次, 即能拌和均匀。 手工拌和时, 只有通过这样多层次分级拌和, 才能保证配合日粮品质, 在原地翻动或搅拌饲料的方法是不可取的。
怎样保管好饲料？	由于家禽代谢旺盛, 生长迅速, 其采食的配合饲料都是高能量高蛋白的全价配合饲料。如果保管不当, 很容易发生霉变, 造成饲料浪费或家禽中毒现象。因此, 饲料应储存在阴凉干燥、无阳光直射的地方, 以免饲料中的维生素在阳光或高温作用下效价降低或失效。为了防止霉变, 要将饲料放在通风的地方, 最好不与地面直接接触, 可用木头或其他东西先垫一下, 然后再放饲料, 但也不要码得太高, 在梅雨季节或三伏天时, 潮湿不通风的条件下霉菌会大量繁殖, 一定要做好饲料的防霉工作。因为饲料一旦霉变后就不能饲喂家禽, 否则就会造成极大损失。另外, 进料要有计划, 做到先进先吃, 后进后吃, 以免保存期过长, 降低维生素的效价。保存饲料的库房, 应防止野禽进入, 要有网子罩在窗户上, 还要有防鼠害的措施。农户养禽, 一定要把饲料与农药分开保管。在饲料运输中要防止雨淋受潮, 雨淋后饲料极易发生霉变。
什么是种蛋? 怎样进行种蛋的选择、保存、运输和消毒？	凡用作孵化的禽蛋, 称之为种蛋。种蛋在孵化前, 要认真做好选择、保存、运输和消毒工作。 (1)种蛋的选择种蛋品质的好坏, 直接影响孵化成绩, 而且还影响到以后雏禽的成活率和成禽的生产性能。因此, 在孵化前对种蛋必须进行严格的选择。 $①$ 种蛋来源: 种蛋应来源于高产、健康无病的禽群, 受精率应在 $85\% \sim 95\%$ 。千万不能在发生过禽流感、新城疫、禽霍乱、马立克氏病等传染病的禽群选留种蛋。 $②$ 新鲜度: 种蛋贮存期短、新鲜, 则孵化率高, 雏禽体质也好。种蛋保存的时间, 视其气候和保存的条件而定。 $③$ 蛋壳质量: 蛋壳的组织结构要细致、厚薄适中, 砂皮、砂顶、腰鼓蛋都要剔除。 $④$ 蛋形: 应选择卵圆形蛋。凡过长、短圆、锤把形、两头尖的蛋均要剔除。 $⑤$ 洁净度: 蛋面必须清洁, 具有光泽, 蛋面粘有粪便、污泥、饲料、蛋黄、蛋白、垫料等的蛋均应剔除。 $⑥$ 内部品质: 用光照透视, 应气室小、蛋黄清晰、蛋白浓度均匀、蛋内无异物。蛋黄流动性大、蛋内有气泡、偏气室、气室移动的蛋都要剔除。 (2)种蛋的保存种蛋应妥善保存, 否则质量下降很快, 必然影响孵化效果。种禽场应有专门的房舍保存种蛋。保存种蛋的温度不要过高或过低, 以 $8 \sim 18^{\circ} \mathrm{C}$ 为宜。为减少蛋内水分蒸发, 室内相对湿度应在 $75\% \sim 80\%$ 为宜。还应注意通风, 使室内无 特殊气味。种蛋的保存时间, 春秋季节不超过 7 天, 夏季不超过 5 天, 冬季不超过 10 天。保存一周内不用翻蛋, 超过一周则每天要以 45 度角翻蛋 $1 \sim 2$ 次, 防止发生粘壳现象。 (3) 种蛋的运输 运输种蛋, 最好用专门的蛋箱包装。如用压型蛋托, 每个蛋托上放 30 个种蛋, 左右各 6 个蛋托, 一箱共装 360 个种蛋。如无压型蛋托, 箱中应有固定数量的厚纸隔, 将每个蛋、每层蛋分隔开来, 并装填充料如卓屑等。若无专用蛋箱, 也可用木箱、纸箱或箩筐, 但应在蛋与蛋之间、层与层之间用清洁的碎纸或稻草隔开, 填实。装蛋时钝端朝上竖放, 因为蛋的纵轴抗压力大, 不易破碎。运输的车、船应清洁卫生, 通风透气, 防雨防晒, 在运输途中切忌震动。 (4) 种蛋的消毒 刚产下来的蛋, 尽管表面清洁光滑, 但表面也附着许多微生物。这些微生物, 在蛋面污染、温度适宜、湿度较大时, 就会迅速繁殖。虽然蛋壳表面有一层保护膜, 大量微生物仍可侵入蛋内影响种蛋孵化率和雏禽质量。特别是白痢、支原体病等传染病, 很容易通过种禽传染给雏禽。为了提高种蛋孵化率和雏禽成活率。一般在种蛋产后和孵化前各进行一次消毒, 常用的消毒方法有: $①$ 福尔马林熏蒸消毒法: 采用此法首先要算出孵化器 (或种蛋消毒室) 的容积, 按每立方米用福尔马林 (即 $40 \%$ 的甲醛原液或工业用甲醛) 30 毫升, 高锰酸钾 15 克的药量准备好药物。消毒前将孵化器内的温度调至 $25 \sim 27^{\circ} \mathrm{C}$ , 相对湿度保持在 $75 \% \sim 80 \%$ , 再把称好的高锰酸钾预先放在一个瓷容器内, 容器的大小应为福尔马林用量的 10 倍以上。将容器放在孵化器的底部中央, 然后按用量加入福尔马林, 两种药混合后即产生甲醛气体, 关闭孵化器机门及通风孔, 熏蒸 30 分钟即可。 $②$ 高锰酸钾溶液消毒法: 用高锰酸钾加水配制成 $0.01 \% \sim 0.05 \%$ 的水溶液 (呈浅紫红色), 置于大盆内, 水温保持在 $40^{\circ} \mathrm{C}$ 左右, 然后将种蛋放入盆内浸泡 3 分钟, 并洗去蛋壳上的污物, 取出晾干即可。 $③$ 新洁尔灭消毒法: 用 $5 \%$ 新洁尔灭原液加水 50 倍至100倍,配成 $0.05\% \sim 0.1\%$ 浓度的水溶液,向种蛋进行喷洒或将种蛋放入 $40 \sim 50^{\circ} \mathrm{C}$ 的溶液中浸泡3分钟。 $④$ 紫外线消毒法:在离地面约1米高处安装40瓦紫外线灯管,对种蛋照射 $10 \sim 15$ 分钟即可。 种蛋消毒后放入蛋盘,蛋应直立或稍倾斜放置,钝端朝上,排列整齐,事先将蛋盘推入架上,置于 $25 \sim 27^{\circ} \mathrm{C}$ 温室内预温 $6 \sim$ 8小时,最好一齐入孵,这样不仅种蛋入孵后升温较快,而且胚胎发育均匀一致。
种蛋为什么要预热?怎样预热？	(1)种蛋预热的优点 $①$ 能增强胚胎的生活力。因为种蛋入孵前贮存于库房中,在温度较低、湿度较大的环境条件下,胚胎处于休眠状态,若将种蛋由低温直接进入孵化的高温环境中 $(37 \sim 39.5^{\circ} \mathrm{C})$ ,对胚胎的刺激太大。如果经过预热,使种蛋的温度由低温缓缓进入高温,使胚胎慢慢复苏,对胚胎的发育极为有利。 $②$ 有利于连续孵化。种蛋经预热后装入孵化机,避免孵化机温度大幅度下降,不至于使其他批次的种蛋胚胎因低温而影响正常发育,从而保证了连续孵化温度的稳定性。 $③$ 有利于熏蒸消毒。种蛋经过预热,可避免种蛋表面凝结水珠,有利于对种蛋进行熏蒸消毒。 (2)种蛋预热方法 $①$ 若手工孵化,通常采用的方法,是将种蛋装在竹筛或塑料筐内,放入 $45 \sim 50^{\circ} \mathrm{C}$ 的温水锅中。浸泡 $5 \sim$ 6分钟,提高蛋温,然后入孵。 $②$ 若机械孵化,可将种蛋上盘,放入蛋盘架上,室内维持在 $22 \sim 24^{\circ} \mathrm{C}$ ,放置 $12 \sim 24$ 小时进行增温。
